LANGUAGE,English,Czech,Comment

STRM_ONLOAD_INTRO,Morton,Morton,loading screen
STRM_ONLOAD_MISSION,Get ready,Připravte se,loading screen


STRM_m05v01,"Jean, may I enter?","Jeane, mohu vstoupit?",hugo
STRM_m05v02,"Hugo? Of course, come in.","Hugo? Samozřejmě, jen pojď.",jean
STRM_m05v03,The boys are waiting for you by the fountain. What are you doing here?,Kluci na tebe čekají u fontány. Co tu děláš?,hugo
STRM_m05v04,I've just... I've just remembered Marie.,Jenom jsem... Jenom jsem zavzpomínal na Marii.,jean
STRM_m05v05,"She was a wonderful woman, Jean.","Byla to skvělá žena, Jeane.",hugo
STRM_m05v06,"Yes, she was...","Ano, to byla.",jean
STRM_m05v07,"And certainly she would be proud of you, Jean. We are so close...\nThe Americans are sending a diplomat. He will be here in a moment.","A určitě by na tebe byla hrdá, Jeane. Jsme tak blízko...\nAmeričané posílají diplomata. Bude tu co by nevidět.",hugo
STRM_m05v08,Get ready. This evening Everon might be ours.,Připrav se. Tento večer Everon může být náš.,jean

STRM_m05v09,"Major Dyaconsen, it's good that you have come. We've got many to discuise.",ne,johnson
STRM_m05v10,"Therefore I'm here, colonel. I've already familiar with the situation... The news are full of this bullshit.\nSo what's the plan?",ne,george
STRM_m05v11,"The White House doesn't want me to call for reinforcements in order not to escalate the conflict further\ninstead we have a task about cease fire and you, major gonna be our saviour.",ne,johnson
STRM_m05v12,Understood sir. Tell me the plan of my mission and I promise I won't disappoint you.,ne,Dyaconsen
STRM_m05v13,The negotiation is in Morton. You'll receive a briefing and a white flag.\nI hope you know it's necessary to go without your weapon.,ne,johnson
STRM_m05v14,"Of course, sir. I've got it in my mind.",ne,George
STRM_m05v15,"I'm going to Saint Phillipe, where I will make contact with you. Your code name is Devil and I'll be Judge.\nIt's nothing about I can trust you, but I want it all under my control.",ne,johnson
STRM_m05v16,"The Devil cooperates with the Judge? That's interesting, however let's make fun.\nWhen should I go?",ne,George
STRM_m05v17,Right now. The rebels are already waiting.,ne,johnson

STRM_m05v18,"Go, major. I'll let you know until I arrive in Saint Phillipe.","Jděte na to, majore. Dám vám vědět, až budu v Saint Philipe.",johnson
STRM_m05v19,"Understood, sir.","Rozumím, pane.",george


STRM_m05v20,Holy shit. They fucked it up here.,"Ty vole, tak ti to tady dojebali.",george

