LANGUAGE,English,Czech,Comment

STRM_ONLOAD_INTRO,Fifth day of fighting,Pátý den bojů,loading screen
STRM_ONLOAD_MISSION,Provins base,Základna Provins,loading screen


STRM_m04v01,"After the fall of Morton, the enemy gained confidence and the rebellion was getting worse.","Poté, co jsme ztratili Morton, získal nepřítel sebevědomí a vzpoura nabrala spád.",jason
STRM_m04v02,"After such a big and surprising defeat we did not have to recover for a long time,\nbecause another one came and even bigger.\nAn uprising broke out in Lamentin.\nPeople took up arms and with the help of rebels took over the town.","Po tak velké a překvapivé porážce jsme se nemuseli vzpamatovávat dlouho, poněvadž přišla další a ještě větší.\nV Lamentinu vypuklo povstání. Lidé vzali do rukou zbraně a s pomocí partyzánů ve městě převzali moc.",jason
STRM_m04v03,"This put Le Moule between a rock and a hard place.\nThe command ordered retreat from the town,\nbut due to the vast forests around the rebels took advantage of it again and attacked.\nOur garrison surrendered there.","Le Moule se tak dostalo do kleští. Velení z města nařídilo ústup, který však byl nemožný.\nKolem lesů se nedalo projít a tak toho rebelové opět využili a zaútočili. Americká posádka ve městě se vzdala.",jason
STRM_m04v04,Martial law was declared. I took part in several patrols and we had to shoot a few people.,Bylo vyhlášeno stanné právo. Zúčastnil jsem se několika hlídek a pár lidí jsme museli zastřelit.,jason
STRM_m04v05,Let's go hurry!,"Rychle, pojď!",man
STRM_m04v06,Freeze! Freeze or I'll shoot!,"Stát! Stát, nebo střelim!",jason
STRM_m04v07,"I realized as war might be cruel.\nThe war doesn't ask who is guilty or not, it's just about dying.","Poznával jsem, jak válka dokáže být krutá.\nVálka se neptá, kdo je vinen, nebo nevinen, prostě se umíralo.",jason
STRM_m04v08,"Commander-in-Chief of US forces on Everon, Colonel Steven Johnson,\ntried in vain to squeeze out reinforcements from Washington.","Vrchní velitel Amerických sil na Everonu, plukovník Steve Johnson, se marně snažil vyždímat z Washingtonu posily.",Jason
STRM_m04v09,The diplomatic relations between the Kremlin and the White House were so strained\nthat President Carter didn't dare militarily provoke Brezhnev and forbade Johnson to contact neighboring Malden.\nWe were alone.,"Diplomatické vztahy mezi Kremlem a Bílým domem byly tak napjaté,\nže se prezident Carter neopovážil vojensky provokovat Brežněva a zakázal Johnsonovi kontaktovat sousední Malden.\nByli jsme sami.",Jason
STRM_m04v10,"Our casualties were bigger day by day.\nWe had few soldiers and those we had were green.\nWith the loss of three major towns we also lost several armored vehicles, weapons and helicopters.",Den ze dne byly naše ztráty čím dál větší.\nPo ztrátě tří významných měst jsme měli ještě míň tanků a vrtulníků.,Jason
STRM_m04v11,"In fact the White House suspected the Soviet forces on Kolguev from espionage and supporting the uprising,\nbecause the rebel military equioment was of Soviet.","Navzdoty tomu pozříval Bílý dům Sovětskou základnu na Kolgujevu ze špionáže a vojenské podpory rebelům,\nponěvadž jejich tanky a zbraně byly sovětské výroby.",Jason
STRM_m04v12,"The war was getting out of our hands, but it has not already ended.","Válka se nám začala vymykat z rukou, ale ještě stále nebyl konec.",Jason

STRM_m04v13,"Sir, we heard that the Russians support the rebels.\nIs it true, sir?","Pane, doslechli jsme se, že prý Rusové podporují povstání.\nJe to pravda, pane?",mike
STRM_m04v14,"I won't comment on it, Sullivan. These are matters for the politicians.","Nebudu to komentovat, Sullivane. To je záležitost politiků.",muday
STRM_m04v15,"But sir, what if the Russians are preparing for us right now? What should we do?","Ale pane, co když se Rusové na nás chystají? Co budeme dělat?",mike
STRM_m04v16,"I said no fucking comment! We have an important mission!\nThe true enemy is perhaps going to attack central Everon and you're thinking about this bullshit?\nHave you seen any Russians here, Sullivan? Or you, Gill? Have you?","Řekl jsem, že to nebudu komentovat! Máme tu důležitou misi!\nZkutečný nepřítel se možná chystá napadnout centrální Everon a ty se zabejváš tutěma kravinama?\nViděls tu nějaký Rusáky, Sullivane? Nebo ty, Gille? Tak viděli?",muday
STRM_m04v17,"No! Then don't worry about it and concentrate!\nThe rebels might be everywhere even in our territory, so stay alert and keep looking around!\nWe have to destroy the fucking tanks, understood?","Ne! Tak se nestrachujte a soustřeďte se!\nRebelové můžou být kdekoliv na našem území, takže dávejte pozor.\nMusíme zničit ty zkurvený tanky, je to jasné?",muday
STRM_m04v18,"Sir, yes, sir!","Pane, ano, pane!",all


STRM_m04r01,WE ARE ALMOST THERE. GET READY TO UNLOAD.,UŽ TAM SKORO JSME. PŘIPRAVTTE SE NA VÝSADEK.,truck
STRM_m04r02,"OKAY, SEEMS IT'S DONE. NOW INTO THE WOOD. TRY TO KEEP TO THE GROUND.","OK, TAK TO BYCHOM MĚLI A TEĎ VZHŮRU DO LESA. DRŽTE SE PŘI ZEMI.",muday
STRM_m04r03,"REBELS, TAKE COVER!",BACHA! PARTYZÁNSKÁ HLÍDKA.,muday
STRM_m04r04,"PAPA BEAR, THERE IS NO SURVIVOR THOSE MOTHERFUCKERS AND THEIR TOYS ARE FRIED. WE WON, OUT!","TÁTO MEDVĚDE, Z TĚCH SRÁČŮ NIKDO NEPŘEŽIL A JEJICH HRAČKY SE SMAŽÍ. VYHRÁLI JSME, KONEC.",muday
STRM_m04r05,"GREAT JOB, GUYS. AT LEAST WE CAN TAKE A REST FOR A MOMENT. PAPA BEAR OUT.",SKVĚLÁ PRÁCE HOŠI. ASPOŇ SI MŮŽEM NA CHVÍLI ODDECHNOUT. TÁTA MEDVĚD KONEC.,muday


STRM_m04m1,Camp 1,Tábor 1,marker
STRM_m04m2,Camp 2,Tábor 2,marker

STRM_m04w1,CAMP 1,TÁBOR 1,waypoint
STRM_m04w2,CAMP 2,TÁBOR 2,waypoint
